Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZN1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),ZN1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  11:00:00,27.9,2.7750000000000005,109.25,1.0,34.53469835072075,34.22066561337924,34.37768198204999,0.0,0.0,60.30790508188038,0.5584065285359294,34.22066561337924,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,29.6875,2.7,120.625,1.0,34.51465169457271,34.33101823117993,34.42283496287632,0.0,0.0,55.104446132447169,0.5102263530782145,34.33101823117993,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,30.275,3.075,118.875,1.0,34.20476770159922,33.88862588630717,34.04669679395319,0.0,0.0,66.28898516066444,0.6137868996357819,33.88862588630717,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,29.95,3.7375,149.0,1.0,34.50756913310358,34.10817668625562,34.3078729096796,0.0,0.0,52.77268095933846,0.4886359348086895,34.10817668625562,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,27.487500000000006,4.5625,173.75,1.0,34.307163775533819,34.09018169834901,34.19867273694141,0.0,0.0,21.23179728330115,0.19659071558612177,34.09018169834901,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,25.35,4.15,196.625,1.0,33.20504062261988,32.88418660051854,33.04461361156921,0.0,0.0,23.44952081868939,0.21712519276564253,32.88418660051854,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,24.3375,4.137500000000001,163.375,1.0,32.5197589155719,31.91682427730653,32.218291596439218,0.0,0.0,46.78808329889741,0.4332229935083094,31.91682427730653,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,23.3125,2.7125,160.375,1.0,31.90072761954262,31.290298296264078,31.595512957903354,0.0,0.0,33.27872171294744,0.3081363121569207,31.290298296264078,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,23.025,2.3874999999999999,146.875,1.0,31.554868223589574,30.91159210950196,31.233230166545764,0.0,0.0,33.8111594984665,0.31306629165246765,30.91159210950196,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,22.85,2.925,141.875,1.0,31.25309123559814,30.545965421638113,30.899528328618126,0.0,0.0,46.894890030090838,0.43421194472306326,30.545965421638113,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,22.45,2.6875,146.5,1.0,30.897430140022999,30.254954361094677,30.57619225055884,0.0,0.0,38.69556850054924,0.3582923009310116,30.254954361094677,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,22.1125,2.0625,145.625,1.0,30.568193036113887,30.009014523366369,30.288603779740126,0.0,0.0,27.326538928365506,0.25302350859597697,30.009014523366369,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,21.874999999999998,2.425,138.5,1.0,30.236364687409773,29.613496773870705,29.924930730640239,0.0,0.0,38.93730183101162,0.3605305725093669,29.613496773870705,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,21.7375,3.4875,124.0,1.0,29.848812910250666,28.975997665774324,29.412405288012495,0.0,0.0,75.36536263675333,0.6978274318217902,28.975997665774324,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,21.45,3.5249999999999996,123.0,2.0,29.46076020742251,28.555387180996016,29.00807369420926,0.0,0.0,77.24007362256723,0.7151858668756226,28.555387180996016,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,21.2375,2.6125,122.875,2.0,29.148117505454068,28.417425443572225,28.782771474513149,0.0,0.0,52.201473071062498,0.4833469728802084,28.417425443572225,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,21.075,1.7625000000000002,141.0,2.0,28.885279751041329,28.365373582949084,28.625326666995208,0.0,0.0,24.788652256552873,0.22952455793104513,28.365373582949084,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,21.125,1.3125000000000003,183.625,2.0,28.64513331708072,28.21769839055402,28.43141585381737,0.0,0.0,15.416183017410607,0.14274243534639456,28.21769839055402,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,21.012499999999997,2.8249999999999999,242.0,2.0,28.35789208658364,27.93580471543847,28.146848401011057,0.0,0.0,16.789316724184116,0.15545663633503813,27.93580471543847,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,20.7125,2.8,215.375,2.0,28.06371395693771,27.629255572276109,27.846484764606907,0.0,0.0,15.829624831512412,0.14657060029178163,27.629255572276109,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  07:00:00,20.9125,1.5750000000000002,163.75,2.0,27.976848843486186,27.548362672917336,27.762605758201759,0.0,0.0,15.108758472943706,0.1398959117865158,27.548362672917336,0.0,0.0,-1.0,14.005615651553914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  08:00:00,21.5375,2.1999999999999999,131.625,2.0,28.249995378637786,25.01739716883538,26.633696273736584,0.009642857142857144,0.009642857142857144,41.28081066051632,0.3822297283381142,25.017397168835385,1.9642857142857145,1.0,0.0,14.005615651553914,0.0,1996.2560974926314,355.8983360601337,3355200.0,7186521.9509734739,0.0,1305.09107466129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.8983360601337 
 01/02  09:00:00,22.55,2.4875,116.25,2.0,28.968069461072024,25.0000000011594,26.984034731115707,0.0,0.0,50.46441309301861,0.4672630841946168,25.0000000011594,2.0,1.0,0.0,14.005615651553914,0.0,2260.9955669794863,375.5592921449122,3355200.0,8139584.041126152,0.0,1377.188456710349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.5592921449122 
 01/02  10:00:00,23.375,2.05,120.875,2.0,29.454340133060719,25.000000000003156,27.227170066531934,0.0,0.0,38.212958124399339,0.35382368633703095,25.000000000003156,2.0,1.0,0.0,14.005615651553914,0.0,2525.8297737848425,395.2272839250565,3355200.0,9092987.185625434,0.0,1449.311638889096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.2272839250565 
 01/02  11:00:00,24.6625,1.275,158.75,2.0,29.599582247708317,25.000000000000214,27.299791123854264,0.0,0.0,12.965268707508884,0.12004878432878596,25.000000000000214,2.0,1.0,0.0,14.005615651553914,0.0,2635.949296653413,403.40534331073197,3355200.0,9489417.467952287,0.0,1479.3008555582398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.40534331073197 
