Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Air System Sensible Heating Energy [J](Hourly),ZN1:Zone Air System Sensible Cooling Energy [J](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/21  11:00:00,8.8,2.3,160.0,10.0,15.203114270896258,19.99999916092165,17.601556715908953,0.0,0.0,23.47618021043962,0.21737203898555208,2600204.911127648,0.0,19.99999916092165,722.2796071590756,2.0,1.0,-1.0,8.8,413.5757301348126,6682675.181190993,1516.596003427989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.5757301348126 
 07/21  12:00:00,8.8,2.3,160.0,10.0,15.355426147953887,19.999999995047657,17.67771307150077,0.0,0.0,23.574525883992267,0.2182826470740025,3353719.4940681855,0.0,19.999999995047657,931.5887510737248,2.0,1.0,-1.0,8.8,431.7161356858746,6975793.053251099,1583.117475929133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.7161356858746 
 07/21  13:00:00,8.8,2.3,160.0,10.0,15.600298208304505,19.999999999968787,17.800149104136645,0.0,0.0,23.581663626181418,0.21834873727945759,2054297.0396234955,0.0,19.999999999968787,570.6380665790716,2.0,1.0,-1.0,8.8,370.3366529918392,5984005.7800954249,1358.0368646565425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.3366529918392 
 07/21  14:00:00,8.8,2.3,160.0,10.0,15.797057956147599,19.999805641698836,17.89843179892322,0.0,0.0,23.828517884914257,0.2206344248603172,1786659.4388294453,0.0,19.999805641698836,496.29422428050779,2.0,1.0,-1.0,8.8,349.1304581459861,5641350.00593361,1280.2730405059997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.1304581459861 
 07/21  15:00:00,8.8,2.3,160.0,10.0,15.966101015414092,19.99999852044511,17.983049767929605,0.0,0.0,24.014062296597996,0.22235242867220368,1566915.5121897257,0.0,19.99999852044511,435.2551021254194,2.0,1.0,-1.0,8.8,331.7224605311163,5360066.591219692,1216.437332347328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.7224605311163 
 07/21  16:00:00,8.8,2.3,160.0,10.0,16.118407390111515,19.99999999860429,18.0592036943579,0.0,0.0,24.189844971348366,0.2239800460310034,1372595.1519220225,0.0,19.99999999860429,381.2764318321051,2.0,1.0,-1.0,8.8,316.32870686979057,5111329.907603422,1159.9879239816303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.32870686979057 
 07/21  17:00:00,8.8,2.3,160.0,10.0,16.256444979816164,19.999999999999138,18.12822248990765,0.0,0.0,24.369076897092158,0.22563960089900149,1200230.3738834148,0.0,19.999999999999138,333.39732607921226,2.0,1.0,-1.0,8.8,302.67547631872028,4890717.095248658,1109.9210719425018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.67547631872028 
 07/21  18:00:00,8.8,2.3,160.0,10.0,16.38163530862432,19.999694524899924,18.19066491676212,0.0,0.0,24.530737067377755,0.2271364543275718,1046741.3078081085,0.0,19.999694524899924,290.7635919442548,2.0,1.0,-1.0,8.8,290.51847996277868,4694280.863849881,1065.3409606262508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.51847996277868 
 07/21  19:00:00,8.8,2.3,160.0,10.0,15.794690681593219,16.34427990640101,16.069485293997116,0.0,0.0,22.13057428115949,0.2049127248255509,0.0,0.0,16.34427990640101,4789.185740172852,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  20:00:00,8.8,2.3,160.0,10.0,15.181703435605862,14.690354384522614,14.936028910064238,0.0,0.0,20.748861514075544,0.19211908809329215,0.0,0.0,14.690354384522614,2783.7590778777694,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
